term,estimate,std.error,statistic,p.value,avg_effect,stars
(Intercept),1.7624930752373262,0.030977872999061233,56.89522567578276,0,5.82694631654141,***
CHAMBERSC,-0.08925090962402965,0.052860628621286855,-1.6884193766112066,0.09141163368583005,-0.4975276416060801,.
CHAMBERGA.post_resignTRUE,1.220188288335418,0.26310110107792867,4.637716388628898,3.6396222479350047e-6,13.913731360751356,***
CHAMBERSC.post_resignTRUE,0.05428964935776153,0.3185589542781013,0.17042261292196098,0.8646867329802357,0.3250874727453965,
CHAMBERGA.transitionTRUE,0.39371464180332505,0.4306353060053993,0.9142646604047572,0.36063497418822976,2.811370207191165,
CHAMBERSC.transitionTRUE,0.2690751927468436,0.7051832074023565,0.381567782559685,0.7028030144679294,1.7990903382878152,
