month,GA,SC
2022-06-19,0.3076923076923077,0.5
2022-06-26,0.0625,0.18181818181818182
2022-07-03,0.0,0.0
2022-07-10,0.2727272727272727,0.2
2022-07-17,0.21428571428571427,0.0
2022-07-24,0.11764705882352941,0.5
2022-07-31,0.18181818181818182,0.6
2022-08-07,0.2727272727272727,0.25
2022-08-14,0.23529411764705882,0.0
2022-08-21,0.17647058823529413,0.1111111111111111
2022-08-28,0.09090909090909091,0.1
2022-09-04,0.2777777777777778,0.2222222222222222
2022-09-11,0.0625,0.42857142857142855
2022-09-18,0.17647058823529413,0.3076923076923077
2022-09-25,0.12195121951219512,0.42857142857142855
2022-10-02,0.21212121212121213,0.4444444444444444
2022-10-09,0.11538461538461539,0.09090909090909091
2022-10-16,0.08,0.0
2022-10-23,0.25925925925925924,0.3333333333333333
2022-10-30,0.3,0.0
2022-11-06,0.25,0.125
2022-11-13,0.2,0.0
2022-11-20,0.24,0.06666666666666667
2022-11-27,0.08,0.23076923076923078
2022-12-04,0.2,0.35714285714285715
2022-12-11,0.14285714285714285,0.2857142857142857
2022-12-18,0.36363636363636365,0.4444444444444444
2022-12-25,0.24,0.2
2023-01-01,0.2,0.25
2023-01-08,0.047619047619047616,0.16666666666666666
2023-01-15,0.34615384615384615,0.42105263157894735
2023-01-22,0.25,0.35714285714285715
2023-01-29,0.4,0.3888888888888889
2023-02-05,0.1935483870967742,0.2727272727272727
2023-02-12,0.10714285714285714,0.3333333333333333
2023-02-19,0.25,0.36363636363636365
2023-02-26,0.375,0.21428571428571427
2023-03-05,0.2222222222222222,0.2727272727272727
2023-03-12,0.125,0.11764705882352941
2023-03-19,0.22727272727272727,0.42857142857142855
2023-03-26,0.13333333333333333,0.2
2023-04-02,0.2692307692307692,0.25
2023-04-09,0.0,0.2857142857142857
2023-04-16,0.21739130434782608,0.4
2023-04-23,0.20833333333333334,0.22727272727272727
2023-04-30,0.07142857142857142,0.3333333333333333
2023-05-07,0.06896551724137931,0.08333333333333333
2023-05-14,0.34615384615384615,0.3
2023-05-21,0.6,0.6
2023-05-28,0.41935483870967744,0.125
2023-06-04,0.5,0.2727272727272727
2023-06-11,0.29411764705882354,0.2727272727272727
2023-06-18,0.2222222222222222,0.16666666666666666
2023-06-25,0.5,0.3333333333333333
2023-07-02,0.25,0.2
2023-07-09,0.125,0.125
2023-07-16,0.2727272727272727,0.3076923076923077
2023-07-23,0.23809523809523808,0.25
2023-07-30,0.4,0.125
2023-08-06,0.4444444444444444,0.2
2023-08-13,0.46153846153846156,0.2222222222222222
2023-08-20,0.26666666666666666,0.3
2023-08-27,0.3333333333333333,0.4444444444444444
2023-09-03,0.5,0.5
2023-09-10,0.5384615384615384,0.2
2023-09-17,0.35714285714285715,0.5
2023-09-24,0.18181818181818182,0.23076923076923078
2023-10-01,0.1875,0.125
2023-10-08,0.3404255319148936,0.34782608695652173
2023-10-15,0.5714285714285714,0.2222222222222222
2023-10-22,0.3448275862068966,0.4666666666666667
2023-10-29,0.782608695652174,0.375
2023-11-05,0.7222222222222222,0.2727272727272727
2023-11-12,0.09090909090909091,0.6153846153846154
2023-11-19,0.10344827586206896,0.15384615384615385
2023-11-26,0.2857142857142857,0.13043478260869565
2023-12-03,0.045454545454545456,0.05263157894736842
2023-12-10,0.0,0.26666666666666666
